date,code,name,vwap930,close,result,dev930_pct
2026-07-10,8031,三井物産,4549.56,4563.0,高,0.3
2026-07-10,8035,東京エレクトロン,72670.18,72560.0,低,-0.15
2026-07-10,8053,住友商事,1557.76,1551.5,低,-0.4
2026-07-10,8058,三菱商事,4383.76,4387.0,高,0.07
2026-07-10,8233,高島屋,2265.23,2283.5,高,0.81
2026-07-10,8267,イオン,1401.01,1383.0,低,-1.29
2026-07-10,8306,三菱UFJ,3460.61,3455.0,低,-0.16
2026-07-10,8308,りそなHD,2373.58,2326.0,低,-2.0
2026-07-10,8316,三井住友FG,6884.44,6814.0,低,-1.02
2026-07-10,8411,みずほFG,8396.95,8291.0,低,-1.26
2026-07-10,8473,SBIHD,2753.26,2797.5,高,1.61
2026-07-10,8591,オリックス,6471.45,6448.0,低,-0.36
2026-07-10,8604,野村HD,1544.21,1535.5,低,-0.56
2026-07-10,8630,SOMPOHD,6587.57,6491.0,低,-1.47
2026-07-10,8697,JPX,2176.9,2180.0,高,0.14
2026-07-10,8725,MS&ADHD,4465.18,4420.0,低,-1.01
2026-07-10,8750,第一生命HD,1891.19,1847.0,低,-2.34
2026-07-10,8766,東京海上HD,7717.54,7595.0,低,-1.59
2026-07-10,8801,三井不動産,1511.05,1510.0,低,-0.07
2026-07-10,8802,三菱地所,4176.58,4158.0,低,-0.44
2026-07-10,8830,住友不動産,3761.02,3741.0,低,-0.53
2026-07-10,9020,JR東日本,3501.04,3470.0,低,-0.89
2026-07-10,9021,JR西日本,2900.06,2879.5,低,-0.71
2026-07-10,9022,JR東海,3628.15,3615.0,低,-0.36
2026-07-10,9064,ヤマトHD,1949.73,1952.5,高,0.14
2026-07-10,9101,日本郵船,5331.24,5279.0,低,-0.98
2026-07-10,9104,商船三井,5381.42,5325.0,低,-1.05
2026-07-10,9107,川崎汽船,2543.57,2525.0,低,-0.73
2026-07-10,9201,JAL,2976.92,2937.5,低,-1.32
2026-07-10,9202,ANAHD,3043.94,3007.0,低,-1.21
2026-07-10,9432,NTT,148.36,148.0,低,-0.24
2026-07-10,9433,KDDI,2807.53,2797.5,低,-0.36
2026-07-10,9434,ソフトバンク,213.77,211.89999389648438,低,-0.88
2026-07-10,9501,東京電力HD,482.44,481.8999938964844,低,-0.11
2026-07-10,9502,中部電力,3231.91,3205.0,低,-0.83
2026-07-10,9503,関西電力,2281.37,2271.0,低,-0.45
2026-07-10,9531,東京ガス,6056.33,5952.0,低,-1.72
2026-07-10,9532,大阪ガス,5388.75,5387.0,低,-0.03
2026-07-10,9684,スクエニHD,2598.25,2579.0,低,-0.74
2026-07-10,9697,カプコン,3325.34,3296.0,低,-0.88
2026-07-10,9766,コナミG,18635.57,18575.0,低,-0.33
2026-07-10,9843,ニトリHD,2389.24,2385.5,低,-0.16
2026-07-10,9983,ファーストリテイリング,82609.04,82060.0,低,-0.66
2026-07-10,9984,ソフトバンクG,6168.62,6369.0,高,3.25
2026-07-13,1605,INPEX,3397.81,3372.0,低,-0.76
2026-07-13,1801,大成建設,13940.92,13630.0,低,-2.23
2026-07-13,1802,大林組,3222.21,3184.0,低,-1.19
2026-07-13,1803,清水建設,2486.22,2463.5,低,-0.91
2026-07-13,1812,鹿島建設,5731.16,5633.0,低,-1.71
2026-07-13,1925,大和ハウス,4511.13,4545.0,高,0.75
2026-07-13,1928,積水ハウス,3467.91,3473.0,高,0.15
2026-07-13,2269,明治HD,3791.32,3768.0,低,-0.62
2026-07-13,2413,エムスリー,1882.17,1872.0,低,-0.54
2026-07-13,2502,アサヒGHD,1599.39,1595.5,低,-0.24
2026-07-13,2503,キリンHD,2849.05,2825.0,低,-0.84
2026-07-13,2768,双日,5176.82,5031.0,低,-2.82
2026-07-13,2801,キッコーマン,1621.59,1630.0,高,0.52
2026-07-13,2802,味の素,5728.17,5616.0,低,-1.96
2026-07-13,285A,キオクシアHD,76071.69,66850.0,低,-12.12
2026-07-13,2914,JT,6098.97,6112.0,高,0.21
2026-07-13,3038,神戸物産,2648.42,2691.0,高,1.61
2026-07-13,3092,ZOZO,1160.63,1165.0,高,0.38
2026-07-13,3099,三越伊勢丹HD,3939.5,3969.0,高,0.75
2026-07-13,3289,東急不動産HD,1306.65,1291.5,低,-1.16
2026-07-13,3382,セブン&アイHD,2015.96,2019.0,高,0.15
2026-07-13,3407,旭化成,1857.78,1818.0,低,-2.14
2026-07-13,3436,SUMCO,5710.2,5154.0,低,-9.74
2026-07-13,3778,さくらインターネット,2890.35,2846.0,低,-1.53
2026-07-13,4005,住友化学,539.82,519.0,低,-3.86
2026-07-13,4063,信越化学,7524.3,7351.0,低,-2.3
2026-07-13,4183,三井化学,2110.97,2063.5,低,-2.25
2026-07-13,4188,三菱ケミカルG,1176.36,1162.0,低,-1.22
2026-07-13,4307,野村総研,4980.16,5034.0,高,1.08
2026-07-13,4385,メルカリ,4786.76,4704.0,低,-1.73
2026-07-13,4452,花王,3227.24,3219.0,低,-0.26
2026-07-13,4502,武田薬品,5350.13,5320.0,低,-0.56
2026-07-13,4503,アステラス製薬,2128.78,2125.5,低,-0.15
2026-07-13,4507,塩野義製薬,2827.44,2829.5,高,0.07
2026-07-13,4519,中外製薬,7273.32,7230.0,低,-0.6
2026-07-13,4523,エーザイ,4298.24,4243.0,低,-1.29
2026-07-13,4543,テルモ,2194.86,2219.0,高,1.1
2026-07-13,4568,第一三共,2707.73,2674.0,低,-1.25
2026-07-13,4578,大塚HD,11024.25,10920.0,低,-0.95
2026-07-13,4689,LINEヤフー,442.83,444.20001220703125,高,0.31
2026-07-13,4751,サイバーエージェント,1486.63,1506.5,高,1.34
2026-07-13,4755,楽天G,800.59,794.2000122070312,低,-0.8
2026-07-13,4901,富士フイルム,3582.41,3555.0,低,-0.77
2026-07-13,4911,資生堂,2799.1,2796.0,低,-0.11
2026-07-13,5019,出光興産,1251.49,1247.0,低,-0.36
2026-07-13,5020,ENEOS,1262.61,1247.5,低,-1.2
2026-07-13,5108,ブリヂストン,3585.16,3578.0,低,-0.2
2026-07-13,5201,AGC,6475.48,6323.0,低,-2.35
2026-07-13,5253,カバー,1618.79,1639.0,高,1.25
2026-07-13,5401,日本製鉄,558.99,558.5,低,-0.09
2026-07-13,5406,神戸製鋼所,1878.74,1838.0,低,-2.17
2026-07-13,5411,JFEHD,1640.06,1617.0,低,-1.41
2026-07-13,5711,三菱マテリアル,4112.57,4050.0,低,-1.52
2026-07-13,5713,住友金属鉱山,7313.73,7136.0,低,-2.43
2026-07-13,5801,古河電工,3852.61,3599.0,低,-6.58
2026-07-13,5802,住友電工,2593.43,2479.0,低,-4.41
2026-07-13,5803,フジクラ,5284.57,5000.0,低,-5.38
2026-07-13,6098,リクルートHD,12107.25,12360.0,高,2.09
2026-07-13,6103,オークマ,5092.88,5040.0,低,-1.04
2026-07-13,6113,アマダ,3054.1,2956.0,低,-3.21
2026-07-13,6146,ディスコ,73497.3,71050.0,低,-3.33
2026-07-13,6254,野村マイクロ,4603.35,4345.0,低,-5.61
2026-07-13,6273,SMC,75851.05,73400.0,低,-3.23
2026-07-13,6301,コマツ,6460.42,6407.0,低,-0.83
2026-07-13,6326,クボタ,2731.63,2702.5,低,-1.07
2026-07-13,6361,荏原製作所,6176.86,5879.0,低,-4.82
2026-07-13,6367,ダイキン,25471.02,24945.0,低,-2.07
2026-07-13,6501,日立製作所,4738.54,4726.0,低,-0.26
2026-07-13,6503,三菱電機,5835.37,5644.0,低,-3.28
2026-07-13,6506,安川電機,6096.05,5972.0,低,-2.03
2026-07-13,6525,KOKUSAI ELECTRIC,11239.19,10605.0,低,-5.64
2026-07-13,6526,ソシオネクスト,2863.35,2662.5,低,-7.01
2026-07-13,6594,ニデック,2672.62,2635.0,低,-1.41
2026-07-13,6701,NEC,4318.84,4349.0,高,0.7
2026-07-13,6702,富士通,3325.31,3311.0,低,-0.43
2026-07-13,6723,ルネサス,4768.02,4440.0,低,-6.88
2026-07-13,6724,セイコーエプソン,2868.98,2780.0,低,-3.1
2026-07-13,6752,パナソニックHD,4568.8,4409.0,低,-3.5
2026-07-13,6758,ソニーG,3350.8,3326.0,低,-0.74
2026-07-13,6762,TDK,3358.68,3199.0,低,-4.75
2026-07-13,6857,アドバンテスト,29791.65,28770.0,低,-3.43
2026-07-13,6861,キーエンス,76690.92,76610.0,低,-0.11
2026-07-13,6902,デンソー,1938.72,1922.0,低,-0.86
2026-07-13,6920,レーザーテック,46443.75,44760.0,低,-3.63
2026-07-13,6963,ローム,5670.27,5259.0,低,-7.25
2026-07-13,6981,村田製作所,9887.99,9029.0,低,-8.69
2026-07-13,6988,日東電工,3220.29,3207.0,低,-0.41
2026-07-13,7011,三菱重工業,3772.63,3751.0,低,-0.57
2026-07-13,7012,川崎重工,2742.48,2723.5,低,-0.69
2026-07-13,7013,IHI,2787.72,2820.5,高,1.18
2026-07-13,7182,ゆうちょ銀行,3336.46,3297.0,低,-1.18
2026-07-13,7186,コンコルディアFG,1902.2,1890.0,低,-0.64
2026-07-13,7201,日産自動車,310.84,305.1000061035156,低,-1.85
